Test Number, BigNumber, mpf
1, 0.029433299999999996 seconds, 0.026620899999999975 seconds
2, 0.028533399999999987 seconds, 0.022676700000000022 seconds
3, 0.028922500000000018 seconds, 0.025866399999999984 seconds
4, 0.029253799999999996 seconds, 0.02367410000000003 seconds
5, 0.03716249999999999 seconds, 0.025205599999999995 seconds
6, 0.03150190000000003 seconds, 0.024945400000000006 seconds
7, 0.034946100000000035 seconds, 0.023627100000000012 seconds
8, 0.028117200000000064 seconds, 0.023220099999999966 seconds
9, 0.029965300000000084 seconds, 0.02203109999999997 seconds
10, 0.04123179999999993 seconds, 0.029564299999999988 seconds
11, 0.030187399999999975 seconds, 0.027173400000000014 seconds
12, 0.035619599999999974 seconds, 0.023371099999999978 seconds
13, 0.027999499999999955 seconds, 0.022586100000000053 seconds
14, 0.03372299999999995 seconds, 0.030092899999999978 seconds
15, 0.029996400000000034 seconds, 0.0269895 seconds
16, 0.02981350000000005 seconds, 0.023189100000000074 seconds
17, 0.03769050000000007 seconds, 0.023438800000000093 seconds
18, 0.022367000000000026 seconds, 0.023721699999999846 seconds
19, 0.05480599999999991 seconds, 0.02503180000000005 seconds
20, 0.027761399999999936 seconds, 0.02010820000000013 seconds
21, 0.022559499999999844 seconds, 0.02212029999999987 seconds
22, 0.02952379999999999 seconds, 0.02753440000000018 seconds
23, 0.03336399999999995 seconds, 0.02263829999999989 seconds
24, 0.0304875 seconds, 0.02258669999999996 seconds
25, 0.022707699999999997 seconds, 0.021043399999999934 seconds
26, 0.02888960000000007 seconds, 0.021329599999999838 seconds
27, 0.033635700000000046 seconds, 0.028204499999999966 seconds
28, 0.03297890000000003 seconds, 0.020602699999999974 seconds
29, 0.027859099999999914 seconds, 0.0256459 seconds
30, 0.02598520000000004 seconds, 0.021909500000000026 seconds
31, 0.02206830000000015 seconds, 0.024945900000000076 seconds
32, 0.028974999999999973 seconds, 0.020000100000000076 seconds
33, 0.024989099999999986 seconds, 0.019191100000000016 seconds
34, 0.026262200000000124 seconds, 0.024672699999999992 seconds
35, 0.025030600000000014 seconds, 0.028691900000000103 seconds
36, 0.02362239999999982 seconds, 0.030380399999999863 seconds
37, 0.029563000000000006 seconds, 0.024668300000000087 seconds
38, 0.028552900000000214 seconds, 0.023635500000000143 seconds
39, 0.035926299999999856 seconds, 0.028861899999999885 seconds
40, 0.028302099999999886 seconds, 0.02749379999999979 seconds
41, 0.03146009999999988 seconds, 0.025634900000000016 seconds
42, 0.03457469999999985 seconds, 0.02517630000000004 seconds
43, 0.029546699999999593 seconds, 0.024805600000000094 seconds
44, 0.036972500000000075 seconds, 0.02502110000000002 seconds
45, 0.029320400000000024 seconds, 0.02974259999999962 seconds
46, 0.033079599999999765 seconds, 0.026867999999999892 seconds
47, 0.03235849999999996 seconds, 0.030407199999999968 seconds
48, 0.03391449999999985 seconds, 0.024817299999999598 seconds
49, 0.035755299999999934 seconds, 0.023557899999999687 seconds
50, 0.03125100000000014 seconds, 0.02245929999999996 seconds
51, 0.03157710000000025 seconds, 0.02028389999999991 seconds
52, 0.030283199999999955 seconds, 0.0233648999999998 seconds
53, 0.029233500000000134 seconds, 0.024126000000000314 seconds
54, 0.03204999999999991 seconds, 0.029118100000000258 seconds
55, 0.02762999999999982 seconds, 0.036941699999999855 seconds
56, 0.03406880000000001 seconds, 0.02773749999999975 seconds
57, 0.02904209999999985 seconds, 0.02618089999999995 seconds
58, 0.03232260000000009 seconds, 0.035317800000000066 seconds
59, 0.031215600000000343 seconds, 0.029914999999999914 seconds
60, 0.026793500000000137 seconds, 0.03338700000000028 seconds
61, 0.030010199999999987 seconds, 0.027212400000000248 seconds
62, 0.035533200000000154 seconds, 0.03240820000000033 seconds
63, 0.03261850000000033 seconds, 0.028309699999999882 seconds
